len(corpus),980610
the,69971
fulton,17
county,155
grand,48
jury,67
said,1961
friday,60
an,3748
investigation,51
of,36412
atlantas,4
recent,179
primary,96
election,77
produced,90
no,2202
evidence,204
that,10594
any,1344
irregularities,8
took,426
place,570
further,218
in,21341
termend,1
presentments,1
city,393
executive,55
committee,168
which,3561
had,5133
overall,47
charge,122
deserves,16
praise,17
and,28853
thanks,37
atlanta,35
for,9489
manner,124
was,9815
conducted,55
septemberoctober,1
term,79
been,2472
charged,57
by,5306
superior,46
court,230
judge,77
durwood,1
pye,1
to,26158
investigate,11
reports,84
possible,374
hardfought,2
won,68
mayornominate,1
ivan,4
allen,20
jr,75
only,1748
relative,46
handful,13
such,1303
received,163
considering,47
widespread,30
interest,330
number,472
voters,20
size,138
this,5145
it,8760
did,1044
find,400
many,1030
georgias,9
registration,23
laws,88
are,4394
outmoded,5
or,4206
inadequate,32
often,369
ambiguous,22
recommended,46
legislators,20
act,283
have,3942
these,1573
studied,79
revised,16
end,409
modernizing,4
improving,16
them,1788
commented,18
on,6741
other,1702
topics,10
among,370
purchasing,17
departments,42
well,961
operated,27
follow,97
generally,132
accepted,96
practices,53
inure,2
best,351
both,730
governments,77
merger,21
proposed,84
however,552
believes,43
two,1412
offices,46
should,888
be,6377
combined,40
achieve,51
greater,188
efficiency,50
reduce,62
cost,229
administration,161
department,225
is,10109
lacking,32
experienced,53
clerical,9
personnel,75
as,7259
result,244
policies,68
urged,35
take,610
steps,119
remedy,13
problem,313
implementation,8
automobile,50
title,77
law,299
also,1069
outgoing,8
next,394
legislature,39
provide,216
enabling,13
funds,98
reset,1
effective,129
date,103
so,1985
orderly,20
may,1402
effected,12
swipe,2
at,5372
state,807
welfare,53
handling,38
federal,246
granted,56
child,213
services,139
foster,15
homes,63
one,3297
major,247
items,72
general,498
assistance,87
program,394
but,4381
has,2437
seen,279
fit,75
distribute,6
through,971
all,3001
counties,35
with,7289
exception,40
receives,20
none,108
money,265
jurors,4
they,3620
realize,69
proportionate,9
distribution,85
might,672
disable,1
our,1252
less,437
populous,5
nevertheless,73
we,2652
feel,216
future,227
receive,76
some,1618
portion,62
available,245
failure,89
do,1363
will,2245
continue,107
disproportionate,2
burden,44
taxpayers,25
ordinarys,1
under,707
fire,187
its,2160
appointment,28
appraisers,1
guardians,4
administrators,5
awarding,3
fees,29
compensation,17
wards,4
protected,31
found,536
incorporated,13
into,1791
operating,87
procedures,61
recommendations,22
previous,86
juries,1
bar,82
association,132
interim,11
citizens,90
actions,68
serve,107
protect,34
fact,447
effect,213
courts,58
from,4370
undue,13
costs,176
appointed,42
elected,33
servants,22
unmeritorious,1
criticisms,11
regarding,40
new,1635
multimilliondollar,2
airport,19
when,2331
management,91
takes,86
jan,24
eliminate,26
political,258
influences,14
not,4610
elaborate,32
added,172
there,2728
periodic,9
surveillance,6
pricing,7
concessionaires,7
purpose,149
keeping,60
prices,61
